2023-01-04 09:05:36.768 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-01-04 09:05:36.768 [info] Added views:workbench.panel.output in workbench.panel.output
2023-01-04 09:05:36.768 [info] Added views:terminal in terminal
2023-01-04 09:05:36.768 [info] Added views:outline in workbench.view.explorer
2023-01-04 09:05:36.768 [info] Added views:workbench.scm in workbench.view.scm
2023-01-04 09:05:36.768 [info] Added views:workbench.view.search in workbench.view.search
2023-01-04 09:05:36.768 [info] Added views:timeline in workbench.view.explorer
2023-01-04 09:05:36.768 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-01-04 09:05:36.768 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-01-04 09:05:37.537 [info] Added views:cell-tag in workbench.view.extension.jupyter
2023-01-04 09:05:39.713 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-01-04 10:06:32.265 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-01-04 10:06:32.270 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2023-01-04 10:06:34.777 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-01-04 10:06:34.822 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-01-04 10:08:29.852 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-01-04 10:08:29.884 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-01-04 10:08:31.875 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-01-04 10:08:31.923 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-01-04 10:09:17.734 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-01-04 10:09:17.765 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-01-04 10:09:19.771 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-01-04 10:09:19.822 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-01-04 10:09:41.108 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-01-04 10:09:41.140 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-01-04 10:09:48.206 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-01-04 10:09:48.280 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-01-04 10:09:56.476 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-01-04 10:09:56.509 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-01-04 10:09:57.702 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-01-04 10:09:57.759 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-01-04 10:09:59.509 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-01-04 10:09:59.527 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-01-04 10:10:14.984 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-01-04 10:10:15.016 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-01-04 10:10:53.269 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-01-04 10:10:53.292 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-01-04 10:10:54.173 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-01-04 10:10:54.228 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-01-04 10:11:04.999 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-01-04 10:11:05.007 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-01-04 10:11:07.064 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-01-04 10:11:07.091 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-01-04 10:22:49.897 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-01-04 10:22:49.928 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-01-04 10:22:51.340 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-01-04 10:22:51.408 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
